"","WT1_25_Slot2-5_1_3496","WT1_50_Slot2-9_1_3502","WT1_100_Slot2-4_1_3495","WT1_Veh_Slot2-2_1_3493","WT3_25_Slot2-6_1_3497","WT3_50_Slot2-10_1_3503","WT3_100_Slot2-11_1_3504","WT3_Veh_Slot2-13_1_3507","WT4_25_Slot2-14_1_3508","WT4_50_Slot2-7_1_3499","WT4_100_Slot2-16_1_3510","WT4_Veh_Slot2-12_1_3505","WT5_25_Slot2-8_1_3500","WT5_50_Slot2-17_1_3511","WT5_100_Slot2-3_1_3494","WT5_Veh_Slot2-15_1_3509"
"Chchd4",16219.9472507594,15397.9133657573,9035.67610908574,10069.6590949742,14604.0721522871,14671.037509022,9913.86203291551,8995.57885067554,9623.46762210177,NA,10248.9160896264,13742.0818336658,9990.92399316024,12303.4050717207,14065.9932834787,10912.0756032493
"Anxa7",465908.805774726,428982.115088911,427901.568405029,444386.266415203,433410.768852452,394544.989269651,351769.573473343,458353.058811502,369606.915461171,380640.584135831,376323.468786126,476415.139794765,442402.533544554,426227.953196119,446457.465383353,452569.315994442
"Pbdc1",24633.5701074565,21832.7756154392,20577.0734752873,27845.1474424545,21970.6046502485,22262.3153160772,23437.7232189534,22324.5267499445,22165.8046284147,22333.7503854147,23729.0978526648,26943.9179875531,18996.962164037,22317.4435921059,23285.3652221985,24314.5972236156
"Hspbp1",21289.5196002621,24626.6313135308,24986.377140947,25306.2813738498,24278.9938865918,26115.6043558239,20562.1245114021,25051.3542852263,23038.5101149875,25925.1563037573,20957.0164045277,27523.4180183584,26716.3180455523,21178.8496231609,21566.6077040818,28844.7061411246
"Pold2",6468.89471050269,7649.45466437628,7832.40213705601,10000.4228746043,7395.2768071433,7696.81025398297,7670.23802112748,8722.74914151355,8343.00903187907,8301.19850570919,6234.66994604237,9496.19345948099,8071.04053023598,5857.66370134621,5578.27917301163,7118.4136004822
"Itpr1",9164.97235248662,9369.12095627541,10153.3052589201,8853.06648781027,8690.47975081913,9073.90275574081,8621.27683944056,7513.05471992986,11693.4098493729,11339.9106791868,10315.2947647119,8693.24110726371,7891.07341082189,9804.13111437547,8152.26832184239,8455.73589230841
"Ugp2",126471.920165111,118495.519661565,118513.665695579,133135.085098931,125020.990780778,119850.787405685,119143.344837467,107165.090391244,108099.250945095,118784.812174226,106129.07880456,115459.43620398,118446.962704403,113634.084956769,119883.667956252,106214.725072262
"Asns",81080.6937032238,79269.2057673778,61347.4971781609,99636.1866453518,90690.6904839964,93934.1797407227,55160.8013459175,90206.1075985162,80659.7499909499,89890.0184948327,56794.1391161766,88070.3023910117,104657.523411125,63781.7940956397,67937.846131769,81115.3358658063
"Cct3",426878.740671177,456829.948909687,491757.850481872,461136.751581155,469265.66004475,491624.65291366,515724.812574258,428863.073118364,390842.540270705,460189.305228243,504194.981700698,484042.972250301,440507.559289246,431126.43189434,534430.07641796,419662.60774756
"Epn1",31797.67327522,25447.7411264217,26448.5227882379,33043.8974942183,31155.0600908022,33144.1942206389,24467.3154140835,28377.182385853,27645.5721261634,27635.1883753183,25465.7571526168,31392.7828426751,32382.336757715,27784.4993051554,26845.0019055818,29766.8852255535
"Decr1",567126.470386862,610044.113115595,667663.575328886,475451.37678391,604685.802173294,618950.340408977,573711.916977219,510352.022545744,475602.792134863,550708.883749209,468615.090287909,502801.475358924,633230.839583531,523309.006128185,679407.874541984,459586.561408238
"S100b",494125.432963412,326263.160387007,392947.900944855,227998.29648672,366555.184540346,318773.708876903,331217.932837283,177098.318013126,154680.144736653,284338.632100449,360355.680284465,279287.737867553,301654.365042673,370087.443892328,318103.387972331,199099.98046709
