"","gs","gene","symbol"
"ENSMUSG00000034403","C-LTMR","ENSMUSG00000034403","Pja1"
"ENSMUSG00000031310","C-LTMR","ENSMUSG00000031310","Zmym3"
"ENSMUSG00000049804","C-LTMR","ENSMUSG00000049804","Armcx4"
"ENSMUSG00000050394","C-LTMR","ENSMUSG00000050394","Armcx6"
"ENSMUSG00000049047","C-LTMR","ENSMUSG00000049047","Armcx3"
"ENSMUSG00000043384","C-LTMR","ENSMUSG00000043384","Gprasp1"
"ENSMUSG00000072966","C-LTMR","ENSMUSG00000072966","Gprasp2"
"ENSMUSG00000000266","C-LTMR","ENSMUSG00000000266","Mid2"
"ENSMUSG00000025332","C-LTMR","ENSMUSG00000025332","Kdm5c"
"ENSMUSG00000041649","C-LTMR","ENSMUSG00000041649","Klf8"
"ENSMUSG00000062168","C-LTMR","ENSMUSG00000062168","Ppef1"
"ENSMUSG00000031380","C-LTMR","ENSMUSG00000031380","Vegfd"
"ENSMUSG00000025255","C-LTMR","ENSMUSG00000025255","Zfhx4"
"ENSMUSG00000043542","C-LTMR","ENSMUSG00000043542","Zc2hc1a"
"ENSMUSG00000078783","C-LTMR","ENSMUSG00000078783","Sirpd"
"ENSMUSG00000002428","C-LTMR","ENSMUSG00000002428","Hltf"
"ENSMUSG00000027702","C-LTMR","ENSMUSG00000027702","Lrrc34"
"ENSMUSG00000074653","C-LTMR","ENSMUSG00000074653","Lrrc31"
"ENSMUSG00000087625","C-LTMR","ENSMUSG00000087625","4930419G24Rik"
"ENSMUSG00000027676","C-LTMR","ENSMUSG00000027676","Ccdc39"
"ENSMUSG00000027680","C-LTMR","ENSMUSG00000027680","Fxr1"
"ENSMUSG00000044864","C-LTMR","ENSMUSG00000044864","Ankrd50"
"ENSMUSG00000027748","C-LTMR","ENSMUSG00000027748","Trpc4"
"ENSMUSG00000049404","C-LTMR","ENSMUSG00000049404","Rarres1"
"ENSMUSG00000027777","C-LTMR","ENSMUSG00000027777","Schip1"
"ENSMUSG00000027784","C-LTMR","ENSMUSG00000027784","Ppm1l"
"ENSMUSG00000061175","C-LTMR","ENSMUSG00000061175","Fnip2"
"ENSMUSG00000033900","C-LTMR","ENSMUSG00000033900","Map9"
"ENSMUSG00000033767","C-LTMR","ENSMUSG00000033767","Tmem131l"
"ENSMUSG00000056498","C-LTMR","ENSMUSG00000056498","Tmem154"
"ENSMUSG00000028082","C-LTMR","ENSMUSG00000028082","Sh3d19"
"ENSMUSG00000028068","C-LTMR","ENSMUSG00000028068","Iqgap3"
"ENSMUSG00000000794","C-LTMR","ENSMUSG00000000794","Kcnn3"
