"","Gene","Condition","Type"
"427","Eef1a2","V","B"
"428","Eef1d","V","B"
"429","Esyt1","V","B"
"430","Rpl4","V","B"
"431","Pygb","V","B"
"432","Lasp1","V","B"
"433","Dctn4","V","B"
"434","Pcbp2","V","B"
"435","Glo1","V","B"
"436","Tuba4a","V","B"
"437","Dync1li2","V","B"
"438","Eps15","V","B"
"439","Cnn3","V","B"
"440","Palm","V","B"
"441","Gmds","V","B"
"442","Hspa8","V","B"
"443","Usp5","V","B"
"444","Elavl4","V","B"
"445","Ncl","V","B"
"446","Nono","V","B"
"447","Pcnp","V","B"
"448","Set","V","B"
"449","Cttn","V","B"
"450","Dpysl2","V","B"
"451","Slc25a4","V","B"
"452","Wipi2","V","B"
"453","Sprr1a","V","B"
"454","Amph","V","B"
"455","Cast","V","B"
"456","Arhgdia","V","B"
"457","Fermt2","V","B"
"458","Hnrnpa2b1","V","B"
"459","Sncg","V","B"
"460","Rps6","V","B"
"461","Washc2","V","B"
"462","Fubp1","V","B"
"463","Ppp3ca","V","B"
"464","Tln1","V","B"
"465","Ppp1r2","V","B"
"466","Nefl","V","B"
"467","Eif4g1","V","B"
"468","Gls","V","B"
"469","Hnrnpm","V","B"
"470","Idh1","V","B"
"471","Snca","V","B"
"472","Ilf3","V","B"
"473","Ranbp2","V","B"
"474","Rbm14","V","B"
"475","Cpne6","V","B"
"476","Pebp1","V","B"
"477","Hnrnpd","V","B"
"478","Rpl7a","V","B"
"479","Strn","V","B"
"480","Trap1","V","B"
"481","Txn","V","B"
"482","Chmp4b","V","B"
"483","Ist1","V","B"
"484","Vcl","V","B"
"485","Hnrnpa3","V","B"
"486","Rufy3","V","B"
"487","Tagln2","V","B"
"488","Dync1li1","V","B"
"489","Anxa2","V","B"
"490","Srcin1","V","B"
"491","Septin5","V","B"
"492","Nup214","V","B"
"493","Tln2","V","B"
"494","Synrg","V","B"
"495","Hnrnpa1","V","B"
"496","Prdx1","V","B"
"497","Ncam1","V","B"
"498","Sf3a1","V","B"
"499","Sncb","V","B"
"500","Trim28","V","B"
"501","Igbp1","V","B"
"502","Ppia","V","B"
"503","Aak1","V","B"
"504","Lypla2","V","B"
"505","Tdrp","V","B"
"506","Niban2","V","B"
"507","Anxa5","V","B"
"508","Prune1","V","B"
"509","Ubap2","V","B"
"510","Capzb","V","B"
"511","Snrpd2","V","B"
"512","Baz2a","V","B"
"513","H4c1","V","B"
"514","Agfg1","V","B"
"515","Lmna","V","B"
"516","Comt","V","B"
"517","Prdx6","V","B"
"518","Tnks1bp1","V","B"
"519","Rpl24","V","B"
"520","Sorbs1","V","B"
"521","Bag3","V","B"
"522","Plaa","V","B"
"523","Cadps","V","B"
"524","Csrp1","V","B"
"525","Ap3s1","V","B"
"526","Prrc2c","V","B"
"527","Upf1","V","B"
"528","Rps2","V","B"
"529","Khsrp","V","B"
"530","Stim1","V","B"
"531","Pdha1","V","B"
"532","Sars1","V","B"
"533","Cs","V","B"
"534","Dpysl3","V","B"
"535","Pdap1","V","B"
"536","Sptan1","V","B"
"537","Cog1","V","B"
"538","Rheb","V","B"
"539","Las1l","V","B"
"540","Hadhb","V","B"
"541","Rint1","V","B"
"542","Mdh2","V","B"
"543","Araf","V","B"
"544","Numb","V","B"
"545","Tkt","V","B"
"546","Rpl29","V","B"
"547","Gspt1","V","B"
"548","Plec","V","B"
"549","Rrbp1","V","B"
"550","Pcbp4","V","B"
"551","Rps3a","V","B"
"552","Pgam1","V","B"
"553","Sfpq","V","B"
"554","Ktn1","V","B"
"555","Chmp2b","V","B"
"556","Sptbn1","V","B"
"557","Rars1","V","B"
"558","Hnrnpab","V","B"
"559","Ampd3","V","B"
"560","Pdxdc1","V","B"
"561","Aldoa","V","B"
"562","Mapre1","V","B"
"563","Ptpn12","V","B"
"564","Nucks1","V","B"
"565","Rps8","V","B"
"566","Etfa","V","B"
"567","As3mt","V","B"
"568","Cpsf6","V","B"
"569","Mapk3","V","B"
"570","Ctnnd1","V","B"
"571","Hspd1","V","B"
"572","Snx9","V","B"
"573","Hcfc1","V","B"
"574","Rplp0","V","B"
"575","Mecp2","V","B"
"576","Uchl1","V","B"
"577","Srp68","V","B"
"578","Ruvbl1","V","B"
"579","Park7","V","B"
"580","Rpl7","V","B"
"581","Ddx46","V","B"
"582","Ndrg1","V","B"
"583","Pcmt1","V","B"
"584","Septin7","V","B"
"585","Zdhhc3","V","B"
"586","Prdx2","V","B"
"587","Hpcal1","V","B"
"588","Rnf121","V","B"
"589","Pcyt2","V","B"
"590","Gsn","V","B"
"591","Ptbp3","V","B"
"592","Mon2","V","B"
"593","Flot2","V","B"
"594","Hnrnpc","V","B"
"595","Pkm","V","B"
"596","Rpl13","V","B"
"597","Hsp90ab1","V","B"
"598","Msn","V","B"
"599","Pak2","V","B"
