,logFC,AveExpr,t,P.Value,adj.P.Val,B
Ascc2,-1.267357317,13.12276497,-9.922027181,2.08E-07,8.88E-06,7.562996767
Tmub1,0.850958503,14.37918651,9.143559733,1.68E-07,7.57E-06,7.562092698
Zfand6,-0.818300327,13.6794741,-9.100134479,1.78E-07,8.00E-06,7.499908016
Ncl,-0.714588689,18.69461791,-9.059827359,1.88E-07,8.42E-06,7.441989214
Hdlbp,-0.703875836,16.75772177,-9.044541065,1.92E-07,8.47E-06,7.419973427
Loxl4,-1.46724436,12.82833885,-9.041724052,1.93E-07,8.47E-06,7.415913252
Rab4a,0.648009782,15.68271144,9.038725657,1.94E-07,8.47E-06,7.411590615
Sh3kbp1,-0.702960165,14.37020697,-9.034953055,1.95E-07,8.47E-06,7.406150323
Adamts1,-1.518640503,13.38871799,-9.014893947,2.01E-07,8.61E-06,7.377195603
Cdc5l,-0.536109485,15.10470956,-9.014876366,2.01E-07,8.61E-06,7.377170204
Nifk,-1.195832095,12.87862586,-9.354933178,2.23E-07,9.29E-06,7.341863751
Pcsk1,-0.84767354,14.12850852,-8.98004099,2.11E-07,8.95E-06,7.32677237
Aldh1l2,-0.847717715,13.63080193,-8.975866039,2.12E-07,8.95E-06,7.320722567
Papln,0.659395972,15.40159555,8.952164154,2.19E-07,9.21E-06,7.286337302
Trp53i11,-1.239783749,14.36698284,-8.925044556,2.28E-07,9.41E-06,7.246911223
Il6st,-0.628077259,15.08009825,-8.924852034,2.28E-07,9.41E-06,7.246631022
Ebna1bp2,-1.376788667,12.8724108,-8.920799005,2.29E-07,9.42E-06,7.240731108
Snw1,-0.655928302,15.02710121,-8.901547077,2.36E-07,9.63E-06,7.212679472
Tars3,0.607232097,16.42393774,8.89704958,2.37E-07,9.64E-06,7.206119819
Serpinh1,-0.668706518,18.48420254,-8.892999326,2.39E-07,9.64E-06,7.200210391
Plxna2,-1.640384114,14.28258944,-8.886003926,2.41E-07,9.69E-06,7.18999926
Synpo,-0.949769746,14.83117201,-8.822883565,2.64E-07,1.05E-05,7.097595509
Aatf,-1.339956189,12.14680578,-8.814964387,2.67E-07,1.06E-05,7.085968312
Nptx2,-0.784161521,14.72741373,-8.803098453,2.71E-07,1.07E-05,7.068532097
Impdh1,-0.873097469,15.27234323,-9.114934573,3.05E-07,1.19E-05,7.020182213
Matn2,0.650605814,15.51251669,8.752326921,2.92E-07,1.14E-05,6.993733031
Gdap1,0.704051263,17.19898976,8.712505286,3.09E-07,1.19E-05,6.934845531
Nop16,-0.888845036,13.20656386,-8.71184953,3.10E-07,1.19E-05,6.933874185
Rmdn2,0.62045204,13.86975005,8.673777348,3.27E-07,1.25E-05,6.877388799
Timp3,-1.06624782,14.92090848,-8.666290708,3.31E-07,1.26E-05,6.866260349
Alas1,-1.302118958,12.71528958,-8.657236204,3.35E-07,1.27E-05,6.852792135
Shmt2,-0.892874445,16.63173223,-8.629642908,3.49E-07,1.32E-05,6.811685825
