"","GeneID","X170_SCN_T_m_4","X175_SCN_T_f_5","X177_SCN_T_f_6","X178_SCN_T_m_1","X181_SCN_T_m_3","X197_SCN_T_f_1","X171_SCN_T_f_2","X183_SCN_T_m_2","X185_SCN_T_f_4","X187_SCN_T_f_3","X173_SCN_TC_f_1","X174_SCN_TC_m_5","X182_SCN_TC_m_3","X186_SCN_TC_m_4","X191_SCN_TC_f_3","X193_SCN_TC_m_2","X194_SCN_TC_m_1","X199_SCN_TC_f_2","X189_SCN_TC_f_6","X198_SCN_TC_f_4","X201_SCN_TC_f_5","X195_SCN_TC_m_6"
"62","Adprh",NA,NA,18335.7,NA,11606.8,13355,18572.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Adsl",8887.227458,11920.73573,14382.38021,12661.9935,12572.15831,17584.35164,13617.05184,8728.076727,14881.6216,14324.64704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Adss2",9329.417208,8683.326344,7822.48562,6332.180045,9336.200802,7173.64399,8340.333803,9160.144135,11640.795,8151.113194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Afdn",19592.78166,20495.00036,16908.7928,17485.00446,16707.84088,16925.611,17770.27449,16626.62714,16242.84049,20347.41478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Afg3l2",6617.57,3820.98,NA,NA,3339.39,4999.9,NA,4919.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Aftph",16713.68401,18431.02358,13976.79108,15274.79855,15508.10017,13952.05864,17803.16998,13428.77544,17108.44463,15193.27889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Ag2",31701.75733,33410.2,21447.49128,34259.33551,21607.96286,26982.05222,28389.65495,31762.94943,31365.81483,29505.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Agap1",4499.47,5630.86,6319.26,6176.63,4571.73,5386.52,7750.14,4841.26,9468.32,8429.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Agap1;Agap3",18481.93343,24800.45169,19116.95643,17553.23897,17629.40677,20403.83262,18757.45825,11863.66598,18165.08369,23413.2238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Agap3",21572.21045,22773.69264,26581.03225,20479.24589,23408.91487,19587.22739,27776.9414,24864.76521,26727.57994,27029.35781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Agfg1",335144.9814,243013.4005,264376.6103,408623.2774,378284.444,327984.743,281196.8808,395510.9893,316836.6475,261520.1131,28615.10021,23586.96681,29831.2715,27722.45176,17928.37249,20896.62437,20056.90078,20726.35541,15538.79545,15819.51953,19848.11702,20634.20557
"73","Agfg2",25801.50306,22430.54238,26968.46212,31828.24293,33146.69668,24162.58338,20881.33331,19163.98217,21795.38839,21690.26967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Agtpbp1",6394.415544,3713.601751,3283.960922,6283.285872,4013.445913,2773.911835,5104.623863,6438.834982,3736.555169,6073.253188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Ahcy",16876.59426,14682.13107,13614.92195,12190.59137,14442.66959,15184.13287,15937.49923,14970.91113,15436.22632,16650.49822,4984.383602,26046.45078,4754.529327,7276.325543,4385.138192,4035.716585,5795.34628,8396.110327,NA,2015.107709,NA,6886.300189
"76","Ahcyl1",112278.1787,93232.20352,107778.5018,124028.3019,110331.7854,110140.5562,89874.02962,111918.2471,113149.7909,103590.431,15617.88406,11841.99913,12858.98711,16577.7954,13116.01107,12197.40913,13064.06071,11619.27582,20858.30784,6372.827534,NA,10643.73272
"77","Ahsa1",233349.0696,242545.975,244886.4658,243716.1517,239736.7431,259973.9871,249286.2152,206671.2631,272379.4287,241866.2841,6197.120798,2931.005394,2372.209802,3896.383058,NA,NA,393.5269533,NA,3005.550296,1964.255341,NA,NA
"78","Ahsa2",55759.95186,50653.32071,58370.48015,54346.0173,60092.47767,50638.721,56956.49892,58897.68153,59899.68357,48524.9302,3098.72,NA,2244.53,2748.4,NA,NA,NA,NA,NA,4959.09,NA,586.419
"79","Aifm3",NA,NA,4189.52,NA,NA,2484.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Aip",7617.57,12069.3,7775.91,6953.96,8069.27,8865.82,13811.3,9662.3,9429.99,9657.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Ak1",NA,NA,4426.49,NA,5783.58,NA,4668.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Ak2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8018.26,NA,NA,NA,1861.33,NA,NA,NA,NA,NA,NA
"83","Akap10",14304.95468,13668.90195,14334.18152,18600.98323,16480.19927,16353.24133,14339.43752,15822.96407,11937.24482,15047.42783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Akap12",1246123.107,1404778.183,1318519.26,1440956.596,1239242.129,1315933,1333356.038,1019935.965,1207996.958,1333235.698,35265.17087,29583.34011,32785.30017,43288.72094,26735.66289,28316.7911,29858.00755,28216.70972,27764.12901,32704.20769,31012.23781,31137.58531
"85","Akap13",17738.63879,16510.48102,16355.86825,15056.42042,16543.98449,14602.78293,15732.19981,18920.78701,17284.7679,20648.90313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Akap17b",24656.1,38227.2,21914.8,NA,37227.8,23073,19963.9,29498.5,26245.9,37765.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Akr1c6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3142.53,NA,NA,2724.59,NA,NA,NA,NA
