"","GeneID","X144_DRG_T_f_1","X147_DRG_T_m_2","X148_DRG_T_m_1","X149_DRG_T_f_3","X152_DRG_T_f_4","X156_DRG_T_f_2","X164_DRG_T_m_3","X145_DRG_T_m_4","X143_DRG_TC_m_4","X151_DRG_TC_f_2","X154_DRG_TC_f_4","X157_DRG_TC_m_3","X158_DRG_TC_f_5","X161_DRG_TC_m_2","X162_DRG_TC_f_1","X165_DRG_TC_m_1","X160_DRG_TC_f_3"
"102","Add2",1209167.214,1143574.254,1004055.28,1101119.105,1095680.517,1204470.235,1089721.543,1103278.088,12742.19965,18885.6263,15783.2377,18834.29941,16304.46246,40044.75868,14007.46388,35372.96105,14806.57197
"103","Add3",46773.00729,48976.93575,43486.52333,45442.82439,43199.66859,45505.9053,52871.05904,48083.09457,85832.20648,81855.58886,71942.93613,83240.38666,83529.63264,71329.57613,81285.27519,65327.99532,73603.24565
"104","Adgb",NA,35753.7,52386.5,NA,39239.5,NA,39142.1,36676.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Adgrb3",53435.97466,47187.41458,36469.9,43612.72415,43381.13307,83240.46186,53875.43148,59326.51644,8053.950134,5995.248091,6996.820627,7186.414802,8970.243957,6467.382322,5023.886872,6388.424213,6402.42
"106","Adgrg4",NA,NA,212159,122932,77612.8,94645.7,386230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Adgrl2",23253.7,37231.6,49964.6,43930.9,33567.6,24685.6,40944.6,48542.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Adk",16870.76233,15765.31368,12555.51304,15640.01092,16010.52972,13073.37875,13714.55799,14647.20867,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Adnp",108850.6479,105427.8375,106446.9662,112810.6265,111811.6509,103745.1307,100020.4991,103616.9273,15838.66971,16418.0985,21186.55007,18314.43324,16076.35521,14742.69927,17934.84443,14148.29569,16675.79401
"110","Ado",59310.22854,54210.48362,NA,34826.04533,45793.22694,44889.43491,47856.5787,59810.64924,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Adprh",20827.97996,19954.23827,23948.7006,21832.68112,19253.45596,24908.60147,15913.80219,22399.78222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Adrbk2",10151.6,9435.37,11279.5,11573.7,9144.5,NA,NA,14228.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Adrbk2;Grk2",235080.8317,251006.3974,170887.1824,216084.4364,219838.0234,221608.9016,231293.1801,208320.7748,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Adrm1",11567.76853,9804.662153,13098.44006,22068.6021,21885.05971,14626.38458,15724.81172,14106.46415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Adsl",135197.2718,87729.52502,89820.47787,126057.9063,121795.5802,141195.3791,86457.33753,89566.27557,811.6315108,3068.681733,5112.427092,10096.22246,NA,NA,4677.157649,5481.534323,NA
"116","Adss2",13558.33461,14853.86331,20414.59548,14124.86341,14856.82798,12679.66942,16003.28395,16088.68092,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Afap1",NA,NA,NA,NA,NA,NA,NA,NA,3435.36,3380.6,NA,3178.29,4269.41,2503.5,3373.19,2911.86,4061.66
"118","Afap1l2",NA,NA,NA,NA,NA,NA,NA,NA,10298.80962,13355.38542,8121.396752,11201.44716,11565.75607,7599.119832,11585.88828,10888.14214,12471.34818
"119","Afdn",88871.00829,84575.52586,88822.38679,92153.95289,92742.87736,91228.82829,90823.98852,84123.42958,13022.88731,12815.71309,15981.10737,14056.42536,13346.18118,11724.43081,14893.81568,13603.06327,15512.846
"120","Aff3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900.28
"121","Aff4",11891.4094,9420.966224,10300.68659,13118.74467,10756.95197,10352.6295,11273.99467,10457.84984,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Afg3l2",17319.84186,18860.33954,20957.49572,18907.19627,18326.61463,16943.6402,19327.59662,21071.30567,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Aftph",115438.1594,106940.6633,103613.0122,107148.1618,119562.6648,108133.2448,107152.246,104254.1434,NA,2933.050987,2369.365632,13690.73611,4375.413549,NA,NA,5735.682053,NA
"124","Ag2",199543.0035,167987.1957,124911.725,118540.4302,143299.7366,171491.5177,143169.9802,123029.0476,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Agap1",32131.55992,32774.34957,33568.25101,32024.34933,31367.03868,33723.62804,32977.44393,29653.17172,3486.34,NA,5652.09,NA,3336.82,5041.76,NA,2375.62,3342.53
"126","Agap1;Agap3",69468.35659,57947.56665,45473.33112,65358.22129,61938.53535,65836.07838,57901.61219,55780.03448,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Agap3",45480.70462,47487.27361,52413.64589,45243.11634,50281.54232,49990.05776,49785.07733,49814.32394,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Agfg1",827907.7116,982335.2379,903272.0926,815182.5772,738377.5262,881583.7132,886601.4896,895745.4214,327788.1728,284818.2551,239590.1206,285225.8763,305826.3172,258811.2114,180869.3344,261713.6318,165683.8267
"129","Agfg1;Agfg2",NA,88365.5,104992,53195.8,NA,NA,86709.4,69742.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Agfg2",155193.6084,128443.6936,126038.8533,142185.0632,141505.9558,154728.8059,121129.792,119971.5639,5753.10356,7376.723051,7442.427431,11731.19651,6922.383864,8812.01558,7175.128357,7704.478095,5984.158609
"131","Ago2",6864.728897,6646.897735,NA,5647.937839,4525.788455,NA,NA,3496.295,NA,NA,NA,NA,NA,NA,NA,NA,NA
