"","NGenes","Direction","PValue","FDR"
"GOBP_NCRNA_METABOLIC_PROCESS",11,"Down",0.0690421028680636,0.838801310577955
"GOBP_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY",6,"Down",0.0697424683796722,0.838801310577955
"GOBP_FC_RECEPTOR_SIGNALING_PATHWAY",2,"Down",0.0698257900959169,0.838801310577955
"GOBP_TISSUE_MORPHOGENESIS",22,"Down",0.0698330340363183,0.838801310577955
"GOBP_VACUOLAR_LOCALIZATION",5,"Up",0.0698880084745065,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS",3,"Down",0.0700138570474993,0.838801310577955
"GOBP_REGULATION_OF_MACROPHAGE_ACTIVATION",2,"Down",0.0705836896235341,0.838801310577955
"GOBP_EMBRYONIC_EYE_MORPHOGENESIS",3,"Down",0.0708496613108298,0.838801310577955
"GOBP_POST_EMBRYONIC_ANIMAL_MORPHOGENESIS",3,"Down",0.0708496613108298,0.838801310577955
"GOBP_POST_EMBRYONIC_ANIMAL_ORGAN_MORPHOGENESIS",3,"Down",0.0708496613108298,0.838801310577955
"GOBP_POST_EMBRYONIC_EYE_MORPHOGENESIS",3,"Down",0.0708496613108298,0.838801310577955
