"","Pool_Ox_V_Slot2-17_1_3795","Pool_Ox_V_Slot2-17_1_3808","Pool_Ox_V_Slot2-17_1_3821"
"Arpc5",57689.55661277,64290.574107607,53675.4999996257
"Ppip5k1",10370.6452167543,11987.1819807549,8327.92057254817
"Rheb",219887.652085574,215687.759619634,187190.507560484
"Use1",18316.0456157015,18387.4400245364,17173.1626855136
"Tsc22d4",NA,NA,4787.73
"Cdc42bpa",13139.9503484417,12229.6396672332,13955.0247867177
"Praf2",32414.0023834528,37245.9014800582,36192.8828184746
"Rexo2",74977.3272316009,78505.8331322197,65777.279053809
"Psmc2",11050.9000001679,7405.64000011254,NA
"Dbn1",150036.469111476,161446.417635174,147112.54020179
"Atp6v1a",63569.5722838389,71595.5759228822,64972.6124291415
"Mapk1",33435.4214589931,35652.8384529581,53248.0999996437
"Mapk3",86445.139912598,83324.6930534229,69880.9053443405
"Ap3d1",46516.4292504425,42821.3067719452,39464.5764824753
"Pabpc1",57821.3945304235,52277.9981426275,54809.8690815847
"Stim1",44202.3430005235,43073.156780526,49100.1739297541
"Pcmt1",231847.02764661,194730.539790906,187466.116789654
"Ppp4r3a",22234.3706549074,21865.9068036691,23826.6104071284
"Myh9",204328.861289445,200955.603559705,188599.375586744
"Krt42",174245.473271879,206932.472725375,199656.814988919
"Tppp3",2963864.26733828,2591035.33518285,2998454.89246556
"Ckap4",45055.4006891146,48072.4421859483,38245.9173352755
"Stmn2",366739.572330838,352040.487073717,378614.492210543
"Stmn3",55249.9599161667,60730.0056605288,65151.4999995416
"Krt10",213564.523147934,251510.660651686,248481.887449932
"Gpaa1",119000.456883836,129682.01563853,138097.924061381
"Cct7",16618.2279894704,16175.6555257282,15290.5727306893
"Pex5l",18358.1542648539,18227.7164574076,15929.6361779564
"Eps15l1",98001.1943025352,92905.1491383196,86772.7766979583
"Stub1",13737.9659810266,17193.9917194102,20669.7634397854
"Fkbp4",56514.3318552136,55425.3775536102,55301.9972528086
"Msn",20916.8021217894,11056.8501993382,12067.0311766365
"Pex5",309056.763307753,296073.7857572,235978.06129901
"Ddx46",23868.6117954542,18883.0799976049,19439.0183620752
"Lcp1;Pls3",45167.7007733736,42219.8500204609,42578.5510102836
"Zfyve1",9841.34999999999,5893.54,7237.28
"Aven",17293.8077281717,18739.1612834946,15155.8275730167
"Golga3",16821.2999998918,23814.3271753354,20439.5929391559
