"","Gene","Tissue","Type"
"691","Gphn","DRG","DEP"
"692","Irf3","DRG","DEP"
"693","Dock11","DRG","DEP"
"694","Prkcd","DRG","DEP"
"695","Csk","DRG","DEP"
"696","Clcc1","DRG","DEP"
"697","Purb","DRG","DEP"
"698","Nufip2","DRG","DEP"
"699","Avil","DRG","DEP"
"700","Sf1","DRG","DEP"
"701","Gpaa1","DRG","DEP"
"702","Cmas","DRG","DEP"
"703","Fhip2a","DRG","DEP"
"704","Wrnip1","DRG","DEP"
"705","Tpd52","DRG","DEP"
"706","Cdc42bpb","DRG","DEP"
"707","Kiaa0100","DRG","DEP"
"708","Eprs1","DRG","DEP"
"709","Rps25","DRG","DEP"
"710","Tmx2","DRG","DEP"
"711","Ank2","DRG","DEP"
"712","Hacd3","DRG","DEP"
"713","Scrn3","DRG","DEP"
"714","Rpl34","DRG","DEP"
"715","Znf598","DRG","DEP"
"716","Cplx2","DRG","DEP"
"717","Ywhab","DRG","DEP"
"718","Brcc3","DRG","DEP"
"719","Chmp3","DRG","DEP"
"720","Tppp","DRG","DEP"
"721","Arl2","DRG","DEP"
"722","Canx","DRG","DEP"
"723","Vamp2","DRG","DEP"
"724","Slc25a3","DRG","DEP"
"725","Esyt2","DRG","DEP"
"726","Pgam1","DRG","DEP"
"727","Synpo","DRG","DEP"
"728","Rps8","DRG","DEP"
"729","Sh3bp4","DRG","DEP"
"730","Chd4","DRG","DEP"
"731","Lysmd2","DRG","DEP"
"732","Cul4b","DRG","DEP"
"733","Dctn6","DRG","DEP"
"734","Ywhaz","DRG","DEP"
"735","Deptor","DRG","DEP"
"736","Cfdp1","DRG","DEP"
"737","Rab7a","DRG","DEP"
"738","Atrx","DRG","DEP"
"739","Usp10","DRG","DEP"
"740","Iars2","DRG","DEP"
"741","Lsm12","DRG","DEP"
"742","Rock2","DRG","DEP"
"743","Rbm10","DRG","DEP"
"744","Cyb5a","DRG","DEP"
"745","Dhx57","DRG","DEP"
"746","Ncald","DRG","DEP"
"747","Fip1l1","DRG","DEP"
"748","Rps14","DRG","DEP"
"749","Naca","DRG","DEP"
"750","Copa","DRG","DEP"
"751","Zdhhc3","DRG","DEP"
"752","Pcm1","DRG","DEP"
"753","Iars1","DRG","DEP"
"754","Ddx42","DRG","DEP"
"755","Spart","DRG","DEP"
"756","Acsl4","DRG","DEP"
"757","P33monox","DRG","DEP"
"758","Sqstm1","DRG","DEP"
"759","Tdrp","DRG","DEP"
"760","Cnn3","DRG","DEP"
"761","Arpc5","DRG","DEP"
"762","Setd7","DRG","DEP"
"763","Dars1","DRG","DEP"
"764","Rer1","DRG","DEP"
"765","Cct3","DRG","DEP"
"766","Lrrc59","DRG","DEP"
"767","Rac1","DRG","DEP"
"768","Zfyve16","DRG","DEP"
"769","Stambp","DRG","DEP"
"770","Inpp1","DRG","DEP"
"771","Hnrnpm","DRG","DEP"
"772","Trap1","DRG","DEP"
"773","G3bp2","DRG","DEP"
"774","Eml4","DRG","DEP"
"775","Usp19","DRG","DEP"
"776","Hadhb","DRG","DEP"
"777","Cisd1","DRG","DEP"
