Genes,log2FC(S2/P1),q value
SOD3,1.838389441,0.000242104
PFKL,1.485077953,0.000243496
QARS1,1.411637126,0.000243496
SMC1A,-1.522619469,0.000243496
BUB3,-2.925013739,0.000243496
UAP1,2.469058139,0.000243532
ARHGAP1,1.364088597,0.000245234
RPS6KB2,-2.670942806,0.00024586
RPL24,-2.732267265,0.000246047
EIF4E,1.688264018,0.000249915
RCN1,1.857617287,0.000249915
ACADS,1.325943097,0.000251366
PPP4R4,3.690782805,0.000251366
IDH1,2.675273113,0.000258073
GC,4.346071785,0.000263255
MATR3,-1.512757366,0.000263255
EIF2A,-2.087856657,0.000263279
MVP,-1.27507535,0.000263279
PRDX5,2.023410321,0.000264705
PSMC5,1.059935856,0.000266897
TMSB10,-3.382795044,0.000266897
LGALS1,2.206406056,0.000268138
POLR2B,-1.750518549,0.000270025
APPL1,1.115890096,0.000270025
TTN,-3.671562987,0.000270328
GOT1,2.463137295,0.000271127
GSTZ1,2.367365203,0.000271127
CDSN,-0.91857468,0.000272402
COTL1,1.633836156,0.000272402
STK26,-1.245677314,0.000272924
PLP2,-1.907479578,0.000276465
LARS1,0.806021132,0.000279359
BOLA2,1.972499588,0.000280333
SEC11A,-3.123542809,0.000280333
CCT8,0.972240719,0.000280349
TSC22D1,3.133294606,0.000280349
SYNJ1,-1.566990502,0.000280349
NDUFS8,-2.139461522,0.000280349
SPTAN1,-1.197652406,0.000280429
ITPR3,-3.084309349,0.000280429
EMC7,-4.038907261,0.000280429
NDUFA7,-2.203199563,0.000280429
KRT79,-3.236447371,0.000283013
CSE1L,1.685785734,0.000283013
SRSF3,-3.919887462,0.000286617
IL1RAP,3.508742899,0.000286659
RBM3,-2.498620166,0.000286995
GSTP1,3.769460514,0.000286995
PXN,1.301910747,0.000286995
ST13,1.917084432,0.000286995
SEPTIN8,-1.736087295,0.000287977
TMEM41B,-4.195210507,0.000287977
EVPL,-2.28022879,0.000287977
TMEM67,-2.98646983,0.00028854
XDH,2.16641575,0.00028868
EFTUD2,-2.001441773,0.000292341
ACOX3,0.866118174,0.000292937
AFDN,-1.005835544,0.000294432
LAMTOR5,1.475630308,0.000296687
NAA20,-2.180900635,0.000299706
SOWAHC,-2.374224398,0.000299706
SGPL1,-1.545492494,0.000299706
ALDH7A1,2.232507213,0.000299706
GNG12,1.784186628,0.0003014
TMEM65,-2.041527867,0.00030306
NT5C3A,2.501824885,0.00030306
FMR1,-2.947568266,0.000306555
SCRN2,3.718598344,0.000306555
HDLBP,-2.181166483,0.000306555
PLS3,1.84432143,0.000306634
RPL13,-4.133834861,0.00030687
MCM2,0.785652105,0.000308995
FKBP15,-1.480738114,0.000308995
BCAS1,-2.786220021,0.000308995
SFXN3,-1.693192814,0.000308995
AUH,-7.22277401,0.000308995
LETM1,-1.567178049,0.000308995
NIPBL,-2.234637838,0.000311641
ERLIN2,-2.131959222,0.000313117
MTPN,2.867243653,0.000315186
LYPLAL1,2.045961032,0.000315256
SH3GL1,-1.669104053,0.000315398
PSMD1,1.674339059,0.000315796
AZGP1,2.669375832,0.000317053
VDAC1,-1.91742102,0.000318854
UBE2M,1.462270207,0.000319414
HSPBP1,3.192420403,0.000319414
NASP,1.620046045,0.000320808
SERPINA12,-2.632749547,0.000321036
RYR1,-2.603785407,0.000323828
DDAH2,2.075526801,0.000324293
TMSB15B1,2.356808782,0.000324768
MYH7,-5.564633353,0.000325449
AKR1B1,2.622844704,0.000325877
CUL2,1.854589741,0.000325877
PRDX3,2.433219988,0.000327264
HNRNPUL2,-2.397666599,0.000327264
PSMD11,1.242349661,0.000327264
SDR9C7,-2.76261837,0.000327264
NDUFS2,-1.878185503,0.000327264
COX6C,-3.794980046,0.000327264
MYO18A,-2.391328584,0.000327264
RPL27,-3.479633463,0.000328916
AS3MT,1.951725201,0.000328916
GSTO1,2.218263736,0.000330147
CTTN,-1.299511107,0.000330147
MARS1,0.771108506,0.000330147
ASPH,-1.76244219,0.000330147
EHD4,-1.711503245,0.000330147
MICU2,-2.4021164,0.000332812
KPRP,-10.95796832,0.000336033
FAIM,1.706065671,0.000336033
RPLP0,-2.364685409,0.000336181
BROX,1.994160324,0.000336181
EIF3C,-1.879296763,0.000336181
CILP2,-4.030580402,0.000337962
H3-3B;H3-5,-3.122002458,0.000337962
RABGGTB,1.749567327,0.000337962
ACYP2,2.436476587,0.000337962
LNPK,-2.633567651,0.000337962
MRI1,2.162595106,0.000337962
EFHD2,1.653761299,0.000337962
ITIH2,1.881600372,0.000340139
CCT7,1.00719922,0.000341282
RAP1A,2.886672621,0.000343805
EMD,-3.103096273,0.000346225
DDX1,-1.37717302,0.000349941
IDE,2.227095537,0.0003514
ALB,4.464439271,0.000351968
PITPNA,1.009770395,0.000351968
CDKN2AIP,-2.323903134,0.000351968
ADK,2.309985769,0.000352176
LCP1,2.531940926,0.000352176
PDXK,2.7865212,0.000352176
OTUB1,2.635724038,0.000359847
ADI1,2.784334143,0.000359902
GALK1,3.323885815,0.000359902
PMP2,-2.850646956,0.000366772
SORD,3.047934697,0.00036932
PGAM5,-1.279215579,0.000370599
AVIL,1.95403389,0.000370723
PTBP1,-1.461406201,0.000372787
HACD2,-2.75830609,0.000372787
NQO2,2.459022151,0.000372787
EML2,1.728011042,0.000373063
PVALB,6.273939912,0.000373764
HSPA12B,-2.294374169,0.000373764
MCTS1,-1.156989754,0.000373764
UQCR10,-1.631022017,0.000374107
ROCK1,-1.571010449,0.000374468
FAM83G,-1.113456951,0.000376296
BLVRA,2.466612191,0.000376296
CAND1,1.592976725,0.000378492
RPS24,-3.019602444,0.000378607
TWF1,1.813839084,0.000378607
ACLY,1.568878323,0.000380197
CAPZA2,1.916171973,0.000382453
DES,-4.80497124,0.000383964
S100A16,-1.956892946,0.000384324
HADHB,-1.443135889,0.000385665
GLOD4,2.341418186,0.000386521
DCTN6,-0.557499744,0.000387584
SLC38A10,-0.868009765,0.000388363
CHKB,1.686861069,0.000390313
LANCL2,2.812323396,0.000392486
KRT81;KRT86,-2.232716884,0.000392593
PSME1,2.483699768,0.000395515
PITPNB,2.115305786,0.00039606
AGFG2,-3.923888236,0.000396162
HMGB2,-3.763411539,0.000396232
KRT78,-2.637551876,0.000398118
ATP5MF,-4.76416623,0.000398523
CTBS,1.620990019,0.000399203
YY1,-4.483189464,0.00040002
GLRX3,1.851843941,0.000400226
PDLIM5,-2.140081605,0.00040316
STX18,-3.607546299,0.000407462
RPS7,-2.735753467,0.00040821
KTI12,2.39162098,0.000410305
TKT,1.801021003,0.000410934
DPH7,3.583994271,0.000414782
PPP2R2D,1.557128607,0.000415009
EIF3A,-1.809400714,0.000417389
LRRC59,-2.09233732,0.000417619
NPL,2.062817827,0.000417619
DAP3,-2.395503519,0.000417619
DHRS11,1.258184891,0.000418254
ATP2A3,-1.564590089,0.000418254
FLNA,-1.257681938,0.000418254
RPL13A,-2.746922287,0.000423572
RPS3A,-2.686419961,0.000424698
KHDRBS1,-2.927746068,0.000424698
DDX19A,-1.124489603,0.000424698
LACC1,1.690269349,0.000424698
TNPO2,1.384323207,0.000424698
DPH5,1.1678549,0.000424698
MYOZ1,-6.799283595,0.000424698
CTSB,2.906384172,0.000425322
NUDT9,2.425915875,0.000425322
KLK7,-2.012917299,0.000425322
