"","Gene","Tissue","Type"
"687","Bloc1s1","DRG","75% Filter"
"688","Bloc1s5","DRG","75% Filter"
"689","Blzf1","DRG","75% Filter"
"690","Bnip3l","DRG","75% Filter"
"691","Bod1","DRG","75% Filter"
"692","Bod1l","DRG","75% Filter"
"693","Bop1","DRG","75% Filter"
"694","Borcs7","DRG","75% Filter"
"695","Bpifc","DRG","75% Filter"
"696","Brd9","DRG","75% Filter"
"697","Brf1","DRG","75% Filter"
"698","Bri3bp","DRG","75% Filter"
"699","Brix1","DRG","75% Filter"
"700","Bscl2","DRG","75% Filter"
"701","Btf3","DRG","75% Filter"
"702","Bysl","DRG","75% Filter"
"703","Bzw2","DRG","75% Filter"
"704","CEFIP","DRG","75% Filter"
"705","Ca2","DRG","75% Filter"
"706","Caap1","DRG","75% Filter"
"707","Cacng5","DRG","75% Filter"
"708","Cacng7","DRG","75% Filter"
"709","Calca","DRG","75% Filter"
"710","Calu","DRG","75% Filter"
"711","Camta2","DRG","75% Filter"
"712","Caprin2","DRG","75% Filter"
"713","Carm1","DRG","75% Filter"
"714","Casc3","DRG","75% Filter"
"715","Castor2","DRG","75% Filter"
"716","Cbll1","DRG","75% Filter"
"717","Ccdc136","DRG","75% Filter"
"718","Ccdc174","DRG","75% Filter"
"719","Ccdc186","DRG","75% Filter"
"720","Ccdc32","DRG","75% Filter"
"721","Ccdc47","DRG","75% Filter"
"722","Ccdc86","DRG","75% Filter"
"723","Ccdc9b","DRG","75% Filter"
"724","Ccm2","DRG","75% Filter"
"725","Ccna1","DRG","75% Filter"
"726","Ccnk","DRG","75% Filter"
"727","Ccnt1","DRG","75% Filter"
"728","Ccnt2","DRG","75% Filter"
"729","Ccsap","DRG","75% Filter"
"730","Ccser1","DRG","75% Filter"
"731","Cd2bp2","DRG","75% Filter"
"732","Cda","DRG","75% Filter"
"733","Cdc123","DRG","75% Filter"
"734","Cdc26","DRG","75% Filter"
"735","Cdc40","DRG","75% Filter"
"736","Cdk12","DRG","75% Filter"
"737","Cdk13","DRG","75% Filter"
"738","Cdk17","DRG","75% Filter"
"739","Cdk2ap1","DRG","75% Filter"
"740","Cdk5rap2","DRG","75% Filter"
"741","Cdk5rap3","DRG","75% Filter"
"742","Cdk7","DRG","75% Filter"
"743","Cdkal1","DRG","75% Filter"
"744","Cdkl5","DRG","75% Filter"
"745","Cdkn2d","DRG","75% Filter"
"746","Cdpf1","DRG","75% Filter"
"747","Cebpz","DRG","75% Filter"
"748","Celf4","DRG","75% Filter"
"749","Celf6","DRG","75% Filter"
"750","Celsr2","DRG","75% Filter"
"751","Cep104","DRG","75% Filter"
"752","Cep162","DRG","75% Filter"
"753","Cep164","DRG","75% Filter"
"754","Cep20","DRG","75% Filter"
"755","Cep350","DRG","75% Filter"
"756","Cep43","DRG","75% Filter"
"757","Cep68","DRG","75% Filter"
"758","Cerk","DRG","75% Filter"
"759","Cers2","DRG","75% Filter"
